recorded_at ,device_id,appliance_id ,voltage_v,current_a,power_w,power_factor,frequency_hz,energy_kwh,,,,
1/1/2024 0:00,ESP32-001,AP01,224.96,4.508,906.63,0.894,50.01,0.9066,,,,
1/1/2024 0:00,ESP32-001,AP01,222.26,3.796,756.38,0.897,49.99,0.7564,,,,
1/1/2024 0:00,ESP32-001,AP01,219.43,0,0,1,49.99,0,,,,
1/1/2024 0:00,ESP32-001,AP01,222.11,3.37,693.27,0.926,50.01,0.6933,,,,
1/1/2024 0:00,ESP32-001,AP01,226.84,3.464,698.39,0.889,49.98,0.6984,,,,
1/1/2024 0:00,ESP32-001,AP02,223.51,0.694,140.03,0.903,50,0.14,,,,
1/1/2024 0:00,ESP32-001,AP03,226.22,0,0,1,50,0,,,,
1/1/2024 0:00,ESP32-001,AP04,223.1,0,0,1,49.97,0,,,,
1/1/2024 0:00,ESP32-001,AP05,225.03,0,0,1,49.96,0,,,,
1/1/2024 0:00,ESP32-001,AP06,225.84,0,0,1,50.02,0,,,,
1/1/2024 1:00,ESP32-001,AP01,221.48,4.737,1004.7,0.958,49.99,1.0047,,,,
1/1/2024 1:00,ESP32-001,AP01,220.41,3.263,680.17,0.946,50,0.6802,,,,
1/1/2024 1:00,ESP32-001,AP01,225.08,0,0,1,50.03,0,,,,
1/1/2024 1:00,ESP32-001,AP01,226.47,3.131,625.69,0.882,50,0.6257,,,,
1/1/2024 1:00,ESP32-001,AP01,223.34,3.463,709.24,0.917,50.01,0.7092,,,,
1/1/2024 1:00,ESP32-001,AP02,225.5,0.333,71.87,0.958,50.02,0.0719,,,,
1/1/2024 1:00,ESP32-001,AP03,224.53,0,0,1,49.99,0,,,,
1/1/2024 1:00,ESP32-001,AP04,227.82,0,0,1,49.99,0,,,,
1/1/2024 1:00,ESP32-001,AP05,225.04,0.856,173.45,0.9,50.01,0.1734,,,,
1/1/2024 1:00,ESP32-001,AP06,221.17,0,0,1,50.03,0,,,,
1/1/2024 2:00,ESP32-001,AP01,218.98,0,0,1,49.98,0,,,,
1/1/2024 2:00,ESP32-001,AP01,222.02,3.405,684.27,0.905,50,0.6843,,,,
1/1/2024 2:00,ESP32-001,AP01,223.98,0,0,1,50.02,0,,,,
1/1/2024 2:00,ESP32-001,AP01,221.59,3.269,678.61,0.937,50.03,0.6786,,,,
1/1/2024 2:00,ESP32-001,AP01,226.77,3.453,702.24,0.897,50.03,0.7022,,,,
1/1/2024 2:00,ESP32-001,AP02,226.62,0.305,64.91,0.938,49.98,0.0649,,,,
1/1/2024 2:00,ESP32-001,AP03,221.65,0,0,1,49.99,0,,,,
1/1/2024 2:00,ESP32-001,AP04,220.31,0,0,1,50,0,,,,
1/1/2024 2:00,ESP32-001,AP05,224.78,0,0,1,50.02,0,,,,
1/1/2024 2:00,ESP32-001,AP06,224.89,0,0,1,50.01,0,,,,
1/1/2024 3:00,ESP32-001,AP01,224.88,4.933,976.63,0.88,49.99,0.9766,,,,
1/1/2024 3:00,ESP32-001,AP01,225.97,3.174,677.11,0.944,50.02,0.6771,,,,
1/1/2024 3:00,ESP32-001,AP01,226.47,0,0,1,50.04,0,,,,
1/1/2024 3:00,ESP32-001,AP01,221.55,3.209,687.98,0.968,50.01,0.688,,,,
1/1/2024 3:00,ESP32-001,AP01,223.21,3.742,749.78,0.898,50.05,0.7498,,,,
1/1/2024 3:00,ESP32-001,AP02,223.63,0.513,111,0.967,50.01,0.111,,,,
1/1/2024 3:00,ESP32-001,AP03,222.97,0,0,1,49.98,0,,,,
1/1/2024 3:00,ESP32-001,AP04,225.89,0,0,1,50.04,0,,,,
1/1/2024 3:00,ESP32-001,AP05,224.15,0,0,1,50.02,0,,,,
1/1/2024 3:00,ESP32-001,AP06,226.72,0,0,1,49.99,0,,,,
1/1/2024 4:00,ESP32-001,AP01,226.62,0,0,1,50.03,0,,,,
1/1/2024 4:00,ESP32-001,AP01,224.7,3.521,720.26,0.91,50,0.7203,,,,
